Station;Temperature mini;Temperature maxi;Temperature moy.;Precipitations;Ensoleillement;
66 - Cap Béar;9.2;13.6;11.0;0.0;-
66 - Perpignan Rivesalte;8.9;14.6;11.5;0.0;7h42
67 - Strasbourg Entzheim;4.4;7.9;6.0;0.2;0h00
68 - Bâle Mulhouse;2.7;6.8;4.5;0.4;-
69 - Lyon Bron;1.2;10.0;5.5;0.0;1h54
69 - Lyon St Exupéry;3.3;8.5;5.5;0.0;-
70 - Luxeuil St Sauveur;2.4;6.0;4.0;0.0*;-
71 - Macon Charnay;3.9;9.0;6.0;0.0;0h30
71 - Saint Yan;2.5;7.7;5.0;0.0;-
72 - Le Mans Arnage;6.7;9.9;8.0;0.0;0h00
73 - Bourg-Saint-Maurice;-5.8;8.4;1.0;0.0;6h36
73 - Chambéry Aix les Bains;-2.9;10.4;3.5;0.0;6h24
74 - Annecy Meythet;-1.8;8.6;3.0;0.0;-
75 - Paris Montsouris;6.8;10.2;8.5;0.0;2h18
76 - Dieppe;7.8;9.8;8.5;0.0;-
76 - Le Havre Cap de la Hève;6.9;10.0;8.0;0.0;-
76 - Le Havre-Octeville;7.2;9.6;8.0;0.0;-
76 - Rouen Boos;5.7;8.8;7.0;0.0;0h54
77 - Melun Villaroche;4.0;10.3;7.0;0.0;2h42
78 - Toussus Le Noble;4.5;9.6;7.0;0.0;-
78 - Trappes;5.4;9.3;7.0;0.0;0h54
79 - Niort Souche;2.8;10.0;6.0;0.0;1h06
80 - Abbeville;5.8;9.5;7.5;0.0;-
80 - Albert Bray;2.1;8.5;5.0;0.2;-
81 - Albi Le Sequestre;4.9;9.9;7.0;0.4;0h30
82 - Montauban  Lamothe-Capdeville;5.7;10.5;8.0;0.0;1h06
83 - Cap Cepet;-;-;-;-;-
83 - Hyeres Le Palivestre;0.4;16.7;8.5;0.0;-
83 - Le Luc Le Cannet;-1.0;15.5;7.0;0.0;6h54
84 - Avignon;-;-;-;0.0*;-
84 - Carpentras;4.5;12.5;8.5;0.0;-
84 - Orange Caritat;7.1;11.5;9.0;0.0;-
85 - L'Ile d'Yeu - Saint Sauveur;7.4;10.7;9.0;0.0;-
85 - La Roche sur Yon Les Ajoncs;4.5;9.8;7.0;0.0;2h30
86 - Poitiers Biard;3.2;9.3;6.0;0.0;0h06
87 - Limoges Bellegarde;3.3;6.7;5.0;0.0;0h06
89 - Auxerre / Perrigny;4.7;7.9;6.0;0.0;0h00
90 - Dorans / Belfort;1.9;5.1;3.5;1.6;-
91 - Paris Orly;5.5;10.7;8.0;0.0;2h24
91 - Villacoublay Velizy;4.7;9.7;7.0;0.0;-
93 - Paris Le Bourget;5.7;9.9;7.5;0.0;-
95 - Paris Roissy CDG;5.6;9.6;7.5;0.0;0h48
95 - Pontoise Cormeilles Boissy-l'Aillerie;5.4;9.9;7.5;0.0;-
